"run_id","policy","users","repeat","initial_stock","batch_size","active_capacity","max_polls","http_reqs","http_failed_rate","http_p50_ms","http_p95_ms","http_p99_ms","purchase_p50_ms","purchase_p95_ms","purchase_p99_ms","waiting_entries","active_statuses","not_admitted_within_window","purchase_attempts","successful_purchases","sold_out_responses","active_token_required_responses","unexpected_responses","db_initial_quantity","db_sold_quantity","db_order_count","redis_available","stock_decision_count","oversell_count","decision_order_gap","waiting_queue_size_after","active_token_current_after"
"20260707-121259-direct-u30-r1","direct","30","1","100","0","0","3","31","0","293.394335","303.240435","306.6059005","293.793774","303.2858673","306.64748825","0","0","0","30","30","0","0","0","100","0","30","70","30","0","0","0","0"
"20260707-121259-fixed-u30-r1","fixed","30","1","100","20","10000","3","101","0","31.264749","190.842737","194.050322","184.954616","193.57610705","194.39012161","30","30","0","30","30","0","0","0","100","0","30","70","30","0","0","0","0"
"20260707-121259-hybrid-u30-r1","hybrid","30","1","100","20","100","3","101","0","27.997259","201.239616","203.833825","192.188863","203.61284485","204.7665378","30","30","0","30","30","0","0","0","100","0","30","70","30","0","0","0","0"
