"run_id","architecture","strategy","scenario_mode","users","iterations","initial_stock","baseline_initial_stock","hikari_max_pool_size","hikari_connection_timeout_ms","waiting_room_enabled","active_capacity","failure_limit","duplicate_requests","http_req_failed_rate","http_p50_ms","http_p95_ms","http_p99_ms","reservation_p50_ms","reservation_p95_ms","reservation_p99_ms","reservation_attempts","reservation_created","reservation_reused","sold_out_responses","already_reserved_responses","retryable_failure_responses","active_token_required_responses","idempotency_processing_responses","unexpected_responses","db_sold_quantity","db_reserved_count","duplicate_reservation_count","redis_available","stock_decision_count","decision_reservation_gap","oversell_count","idempotency_hit_metric","duplicate_rejected_metric","front_gate_accepted_metric","front_gate_rejected_metric","compensation_success_metric","compensation_failure_metric"
"20260710-004931-rdb-atomic-normal-u3000-pool5","rdb-atomic","rdb-atomic","normal","3000","3000","100","100","5","30000","false","100","0","1","0","2209.248432","2922.302384","3123.728557","2209.4087535","2922.3090422","3124.17257431999","3000","100","0","2900","0","0","0","0","0","100","100","0",,"100","0","0","0","0","0","0","0","0"
"20260710-004931-rdb-atomic-sold-out-u3000-pool5","rdb-atomic","rdb-atomic","sold-out","3000","3000","0","100","5","30000","false","100","0","1","0","2343.189941","3042.366342","3152.479369","2344.087577","3042.3727029","3152.50175532","3000","0","0","3000","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0"
"20260710-005016-rdb-atomic-normal-u3000-pool10","rdb-atomic","rdb-atomic","normal","3000","3000","100","100","10","30000","false","100","0","1","0","2327.190685","2944.933177","3042.58112","2327.3295655","2945.0328585","3042.58425449","3000","100","0","2900","0","0","0","0","0","100","100","0",,"100","0","0","0","0","0","0","0","0"
"20260710-005016-rdb-atomic-sold-out-u3000-pool10","rdb-atomic","rdb-atomic","sold-out","3000","3000","0","100","10","30000","false","100","0","1","0","1896.023736","2438.171225","2588.914252","1896.127995","2438.18509905","2588.99797841","3000","0","0","3000","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0"
"20260710-005059-rdb-atomic-normal-u3000-pool20","rdb-atomic","rdb-atomic","normal","3000","3000","100","100","20","30000","false","100","0","1","0","1432.829315","2037.54806","2218.200299","1432.942442","2037.55041765","2218.20908828","3000","100","0","2900","0","0","0","0","0","100","100","0",,"100","0","0","0","0","0","0","0","0"
"20260710-005059-rdb-atomic-sold-out-u3000-pool20","rdb-atomic","rdb-atomic","sold-out","3000","3000","0","100","20","30000","false","100","0","1","0","1803.379853","2398.940753","2605.820821","1803.8440965","2398.98010265","2605.82842741","3000","0","0","3000","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0"
"20260710-005143-rdb-atomic-normal-u3000-pool40","rdb-atomic","rdb-atomic","normal","3000","3000","100","100","40","30000","false","100","0","1","0","2010.690322","2717.4715","2885.024388","2010.8081455","2717.48805525","2885.04494208","3000","100","0","2900","0","0","0","0","0","100","100","0",,"100","0","0","0","0","0","0","0","0"
"20260710-005143-rdb-atomic-sold-out-u3000-pool40","rdb-atomic","rdb-atomic","sold-out","3000","3000","0","100","40","30000","false","100","0","1","0","1884.219515","2610.659585","2726.424737","1884.2470765","2610.69307955","2726.4310054","3000","0","0","3000","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0"
