"run_id","target_path","users","iterations","http_reqs","http_req_failed_rate","http_p50_ms","http_p95_ms","http_p99_ms","sanity_p50_ms","sanity_p95_ms","sanity_p99_ms","sanity_requests","sanity_unexpected_responses","k6_max_cpu_percent","k6_max_mem_mib","api_max_cpu_percent","api_max_mem_mib","prometheus_max_cpu_percent","prometheus_max_mem_mib"
"20260709-212139-generator-sanity-u1000","/actuator/health","1000","1000","1001","0","481.044548","934.968029","981.711874","481.815215","935.0545378","981.7387153","1000","0","74","168","888","523","0","27"
"20260709-212139-generator-sanity-u3000","/actuator/health","3000","3000","3001","0","1093.437256","1543.444649","1603.849495","1093.4508565","1543.4516153","1603.85262819","3000","0","574","481","686","725","5","29"
"20260709-212139-generator-sanity-u5000","/actuator/health","5000","5000","5001","0","605.735178","881.556971","932.634924","605.96636","881.56171845","932.664208350001","5000","0","472","737","392","825","4","30"
"20260709-212139-generator-sanity-u10000","/actuator/health","10000","10000","10001","0.063993600639936","429.819671","1075.937728","58240.508959","429.856771","1075.9454562","58240.51034859","10000","640","815","1526","648","1146","3","41"
