sampled_at,active_sessions,lock_waiters,blocked_sessions,ungranted_locks,lock_wait_events,waiting_queries
2026-09-05 15:09:24.638636+00,21,21,21,21,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:24.7419+00,22,21,22,22,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:24.845943+00,21,20,18,21,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:24.948747+00,19,19,19,19,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:25.051395+00,18,18,18,18,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:25.15407+00,20,19,19,19,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:25.256968+00,18,17,17,17,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:25.359432+00,15,15,15,15,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:25.462052+00,15,14,14,14,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
2026-09-05 15:09:25.565203+00,15,14,15,15,Lock:transactionid | Lock:tuple,"SELECT sale_items.id, sale_items.sale_event_id, sale_items.name, sale_items.price, sale_items.per_user_limit, inventories.sale_item_id, inventories.total_quantity, inventories.available_quantity, inventories.held_quantity, inventories.sold_"
